emp_id,month,working_days,present_days,leaves_taken,overtime_hours
E010,2024-02,22,17.0,5,2.0
E010,2024-03,22,19.0,3,4.0
E010,2024-04,22,22.0,0,
E010,2024-05,22,19.0,3,
E010,2024-06,22,20.0,2,8.0
E011,2024-01,22,22.0,0,2.0
E011,2024-02,22,18.0,4,0.0
E011,2024-03,22,19.0,3,0.0
E011,2024-04,22,20.0,2,0.0
E011,2024-05,22,19.0,3,0.0
E011,2024-06,22,17.0,5,0.0
E012,2024-01,22,21.0,1,4.0
E012,2024-02,22,18.0,4,0.0
E012,2024-03,22,19.0,3,4.0
E012,2024-04,22,22.0,0,0.0
E012,2024-05,22,20.0,2,0.0
E012,2024-06,22,20.0,2,4.0
E013,2024-01,22,21.0,1,0.0
E013,2024-02,22,20.0,2,6.0
E013,2024-03,22,19.0,3,0.0
E013,2024-04,22,20.0,2,0.0
E013,2024-05,22,21.0,1,6.0
E013,2024-06,22,17.0,5,
E014,2024-01,22,17.0,5,0.0
E014,2024-02,22,20.0,2,8.0
E014,2024-03,22,19.0,3,0.0
E014,2024-04,22,22.0,0,4.0
E014,2024-05,22,18.0,4,0.0
E014,2024-06,22,17.0,5,0.0
E015,2024-01,22,18.0,4,8.0
E015,2024-02,22,17.0,5,0.0
E015,2024-03,22,17.0,5,6.0
E015,2024-04,22,17.0,5,0.0
E015,2024-05,22,17.0,5,0.0
E015,2024-06,22,20.0,2,8.0
E016,2024-01,22,21.0,1,2.0
E016,2024-02,22,19.0,3,4.0
E016,2024-03,22,18.0,4,0.0
E016,2024-04,22,18.0,4,6.0
E016,2024-05,22,19.0,3,0.0
E016,2024-06,22,17.0,5,0.0
E017,2024-01,22,22.0,0,4.0
E017,2024-02,22,21.0,1,
E017,2024-03,22,21.0,1,0.0
E017,2024-04,22,19.0,3,0.0
E017,2024-05,22,19.0,3,0.0
E017,2024-06,22,20.0,2,6.0
E018,2024-01,22,20.0,2,0.0
E018,2024-02,22,19.0,3,6.0
E018,2024-03,22,19.0,3,
E018,2024-04,22,,0,0.0
E018,2024-05,22,18.0,4,2.0
E018,2024-06,22,22.0,0,0.0
E019,2024-01,22,22.0,0,4.0
E019,2024-02,22,19.0,3,2.0
E019,2024-03,22,18.0,4,4.0
E019,2024-04,22,21.0,1,0.0
E019,2024-05,22,18.0,4,0.0
E019,2024-06,22,17.0,5,0.0
E020,2024-01,22,22.0,0,8.0
E020,2024-02,22,18.0,4,2.0
E020,2024-03,22,22.0,0,0.0
E020,2024-04,22,,5,0.0
E020,2024-05,22,21.0,1,8.0
E020,2024-06,22,18.0,4,0.0
E021,2024-01,22,20.0,2,0.0
E021,2024-02,22,17.0,5,6.0
E021,2024-03,22,21.0,1,
E021,2024-04,22,,3,8.0
E021,2024-05,22,21.0,1,0.0
E021,2024-06,22,18.0,4,2.0
E022,2024-01,22,,2,0.0
E022,2024-02,22,20.0,2,
E022,2024-03,22,17.0,5,0.0
E022,2024-04,22,19.0,3,2.0
E022,2024-05,22,20.0,2,2.0
E022,2024-06,22,20.0,2,8.0
E023,2024-01,22,22.0,0,
E023,2024-02,22,18.0,4,0.0
E023,2024-03,22,20.0,2,0.0
E023,2024-04,22,20.0,2,0.0
E023,2024-05,22,17.0,5,6.0
E023,2024-06,22,20.0,2,6.0
E024,2024-01,22,22.0,0,0.0
E024,2024-02,22,18.0,4,0.0
E024,2024-03,22,21.0,1,2.0
E024,2024-04,22,22.0,0,6.0
E024,2024-05,22,20.0,2,0.0
E024,2024-06,22,18.0,4,0.0
E025,2024-01,22,20.0,2,
E025,2024-02,22,21.0,1,6.0
E025,2024-03,22,20.0,2,6.0
E025,2024-04,22,21.0,1,4.0
E025,2024-05,22,22.0,0,2.0
E025,2024-06,22,21.0,1,2.0
E026,2024-01,22,21.0,1,2.0
E026,2024-02,22,21.0,1,0.0
E026,2024-03,22,17.0,5,6.0
E026,2024-04,22,20.0,2,0.0
E026,2024-05,22,20.0,2,6.0
E026,2024-06,22,17.0,5,0.0
E027,2024-01,22,22.0,0,0.0
E027,2024-02,22,,3,0.0
E027,2024-03,22,19.0,3,4.0
E027,2024-04,22,22.0,0,6.0
E027,2024-05,22,17.0,5,2.0
E027,2024-06,22,18.0,4,6.0
E028,2024-01,22,22.0,0,0.0
E028,2024-02,22,21.0,1,6.0
E028,2024-03,22,18.0,4,2.0
E028,2024-04,22,18.0,4,
E028,2024-05,22,22.0,0,0.0
E028,2024-06,22,20.0,2,4.0
E029,2024-01,22,20.0,2,6.0
E029,2024-02,22,18.0,4,4.0
E029,2024-03,22,18.0,4,4.0
E029,2024-04,22,18.0,4,6.0
E029,2024-05,22,18.0,4,0.0
E029,2024-06,22,22.0,0,8.0
E030,2024-01,22,18.0,4,4.0
E030,2024-02,22,19.0,3,
E030,2024-03,22,17.0,5,0.0
E030,2024-04,22,19.0,3,2.0
E030,2024-05,22,20.0,2,0.0
E030,2024-06,22,19.0,3,0.0
E031,2024-01,22,18.0,4,0.0
E031,2024-02,22,17.0,5,2.0
E031,2024-03,22,21.0,1,0.0
E031,2024-04,22,20.0,2,2.0
E031,2024-05,22,21.0,1,
E031,2024-06,22,19.0,3,8.0
E032,2024-01,22,21.0,1,6.0
E032,2024-02,22,20.0,2,4.0
E032,2024-03,22,19.0,3,0.0
E032,2024-04,22,22.0,0,0.0
E032,2024-05,22,21.0,1,
E032,2024-06,22,20.0,2,6.0
E033,2024-01,22,17.0,5,8.0
E033,2024-02,22,22.0,0,6.0
E033,2024-03,22,20.0,2,2.0
E033,2024-04,22,22.0,0,4.0
E033,2024-05,22,20.0,2,8.0
E033,2024-06,22,18.0,4,6.0
E034,2024-01,22,18.0,4,2.0
E034,2024-02,22,20.0,2,0.0
E034,2024-03,22,21.0,1,4.0
E034,2024-04,22,,0,0.0
E034,2024-05,22,19.0,3,4.0
E034,2024-06,22,21.0,1,0.0
E035,2024-01,22,19.0,3,0.0
E035,2024-02,22,18.0,4,4.0
E035,2024-03,22,19.0,3,8.0
E035,2024-04,22,22.0,0,2.0
E035,2024-05,22,18.0,4,8.0
E035,2024-06,22,17.0,5,0.0
E036,2024-01,22,17.0,5,4.0
E036,2024-02,22,21.0,1,0.0
E036,2024-03,22,18.0,4,8.0
E036,2024-04,22,19.0,3,0.0
E036,2024-05,22,18.0,4,0.0
E036,2024-06,22,19.0,3,6.0
E037,2024-01,22,21.0,1,2.0
E037,2024-02,22,17.0,5,4.0
E037,2024-03,22,21.0,1,2.0
E037,2024-04,22,18.0,4,2.0
E037,2024-05,22,18.0,4,8.0
E037,2024-06,22,17.0,5,0.0
E038,2024-01,22,18.0,4,0.0
E038,2024-02,22,18.0,4,0.0
E038,2024-03,22,20.0,2,2.0
E038,2024-04,22,20.0,2,8.0
E038,2024-05,22,17.0,5,6.0
E038,2024-06,22,18.0,4,8.0
E039,2024-01,22,20.0,2,0.0
E039,2024-02,22,22.0,0,0.0
E039,2024-03,22,19.0,3,0.0
E039,2024-04,22,21.0,1,4.0
E039,2024-05,22,17.0,5,6.0
E039,2024-06,22,18.0,4,
E040,2024-01,22,18.0,4,0.0
E040,2024-02,22,19.0,3,6.0
E040,2024-03,22,,1,0.0
E040,2024-04,22,19.0,3,2.0
E040,2024-05,22,19.0,3,0.0
E040,2024-06,22,20.0,2,
E041,2024-01,22,22.0,0,6.0
E041,2024-02,22,17.0,5,
E041,2024-03,22,21.0,1,0.0
E041,2024-04,22,19.0,3,6.0
E041,2024-05,22,20.0,2,
E041,2024-06,22,18.0,4,0.0
E042,2024-01,22,20.0,2,4.0
E042,2024-02,22,19.0,3,4.0
E042,2024-03,22,19.0,3,0.0
E042,2024-04,22,21.0,1,6.0
E042,2024-05,22,,1,0.0
E042,2024-06,22,18.0,4,4.0
E043,2024-01,22,17.0,5,4.0
E043,2024-02,22,20.0,2,0.0
E043,2024-03,22,21.0,1,0.0
E043,2024-04,22,20.0,2,0.0
E043,2024-05,22,20.0,2,0.0
E043,2024-06,22,20.0,2,0.0
E044,2024-01,22,17.0,5,2.0
E044,2024-02,22,17.0,5,6.0
E044,2024-03,22,20.0,2,0.0
E044,2024-04,22,20.0,2,0.0
E044,2024-05,22,19.0,3,4.0
E044,2024-06,22,20.0,2,2.0
E045,2024-01,22,18.0,4,8.0
E045,2024-02,22,21.0,1,8.0
E045,2024-03,22,22.0,0,0.0
E045,2024-04,22,22.0,0,8.0
E045,2024-05,22,18.0,4,4.0
E045,2024-06,22,21.0,1,2.0
E046,2024-01,22,22.0,0,2.0
E046,2024-02,22,22.0,0,0.0
E046,2024-03,22,19.0,3,4.0
E046,2024-04,22,22.0,0,0.0
E046,2024-05,22,,5,0.0
E046,2024-06,22,17.0,5,
E047,2024-01,22,19.0,3,
E047,2024-02,22,22.0,0,
E047,2024-03,22,,3,8.0
E047,2024-04,22,21.0,1,6.0
E047,2024-05,22,19.0,3,2.0
E047,2024-06,22,19.0,3,6.0
E048,2024-01,22,18.0,4,0.0
E048,2024-02,22,21.0,1,0.0
E048,2024-03,22,17.0,5,8.0
E048,2024-04,22,22.0,0,6.0
E048,2024-05,22,18.0,4,0.0
E048,2024-06,22,21.0,1,0.0
E049,2024-01,22,17.0,5,
E049,2024-02,22,17.0,5,0.0
E049,2024-03,22,21.0,1,0.0
E049,2024-04,22,19.0,3,0.0
E049,2024-05,22,21.0,1,0.0
E049,2024-06,22,18.0,4,0.0
E050,2024-01,22,21.0,1,8.0
E050,2024-02,22,17.0,5,8.0
E050,2024-03,22,17.0,5,0.0
E050,2024-04,22,17.0,5,0.0
E050,2024-05,22,22.0,0,6.0
E050,2024-06,22,21.0,1,2.0
