order_id,customer_id,product_id,order_date,quantity,amount_inr,order_status,payment_method,payment_status
O0077,C043,P001,2023-08-27,5,449995.0,Delivered,Debit Card,Paid
O0078,C015,P019,2023-11-09,10,9990.0,Cancelled,UPI,Pending Refund
O0079,C050,P018,2024-04-03,4,139996.0,Cancelled,UPI,Refunded
O0080,C019,P008,2022-07-22,6,5994.0,Delivered,EMI,Paid
O0081,C006,P019,2023-03-12,4,9996.0,Processing,EMI,Pending
O0082,C055,P008,2022-04-28,5,44995.0,Delivered,EMI,Paid
O0083,C015,P001,2023-07-12,9,44991.0,Pending,Debit Card,Pending
O0084,C007,P003,2022-08-19,8,10392.0,Pending,Debit Card,Paid
O0085,C025,P023,2023-10-26,5,12495.0,Delivered,UPI,Paid
O0086,C018,P021,2022-06-02,1,799.0,Shipped,Net Banking,Paid
O0087,C030,P002,2022-09-30,2,5998.0,Shipped,EMI,Pending
O0088,C041,P008,2024-04-26,7,20993.0,Delivered,Credit Card,Paid
O0089,C054,P003,2022-05-26,5,7495.0,Delivered,Credit Card,Paid
O0090,C024,P029,2022-03-15,1,8999.0,Processing,UPI,Paid
O0091,C011,P002,2022-03-03,1,89999.0,Cancelled,EMI,Refunded
O0092,C024,P028,2022-06-19,6,209994.0,Delivered,Cash on Delivery,Paid
O0093,C023,P011,2024-03-22,3,8997.0,Shipped,UPI,Failed
O0094,C014,P003,2022-11-11,5,79995.0,Returned,Debit Card,Refunded
O0095,C043,P017,2023-09-02,3,3897.0,Processing,Credit Card,Paid
O0096,C018,P008,2024-02-06,8,23992.0,Delivered,UPI,Paid
O0097,C045,P009,2024-04-24,9,44991.0,Delivered,EMI,Paid
O0098,C044,P022,2023-08-06,7,5593.0,Shipped,Debit Card,Pending
O0099,C042,P016,2022-10-23,9,13491.0,Pending,UPI,Paid
O0100,C005,P007,2023-03-26,1,22999.0,Delivered,EMI,Paid
O0101,C039,P018,2022-05-08,2,,Shipped,Credit Card,Paid
O0102,C041,P005,2023-04-25,2,1998.0,Cancelled,Net Banking,Refunded
O0103,C011,P024,2023-12-07,3,8997.0,Processing,Credit Card,Paid
O0104,C035,P030,2022-11-08,9,206991.0,Returned,Debit Card,Refunded
O0105,C047,P029,2023-12-18,1,5999.0,Delivered,Credit Card,Paid
O0106,C016,P019,2023-02-17,6,8994.0,Delivered,Debit Card,Paid
O0107,C011,P019,2022-10-06,10,7990.0,Shipped,UPI,Failed
O0108,C030,P016,2023-05-28,9,22491.0,Delivered,Net Banking,Paid
O0109,C025,P008,2023-07-07,3,17997.0,Returned,Credit Card,Refunded
O0110,C018,P026,2023-05-21,7,,Returned,Credit Card,Refunded
O0111,C041,P016,2023-03-25,3,8997.0,Delivered,EMI,Paid
O0112,C045,P026,2022-03-24,1,4999.0,Processing,UPI,Pending
O0113,C036,P014,2023-09-05,5,7495.0,Shipped,Credit Card,Paid
O0114,C015,P007,2022-02-10,6,539994.0,Cancelled,EMI,Refunded
O0115,C044,P004,2024-06-29,1,599.0,Delivered,Credit Card,Paid
O0116,C021,P004,2023-03-19,6,17994.0,Returned,Debit Card,Pending Refund
O0117,C054,P022,2024-01-23,4,7996.0,Shipped,Credit Card,Paid
O0118,C050,P014,2022-11-27,4,3996.0,Delivered,Credit Card,Paid
O0119,C050,P012,2023-09-11,2,,Processing,Credit Card,Paid
O0120,C004,P014,2022-09-14,6,35994.0,Shipped,Net Banking,Failed
O0121,C015,P014,2022-01-27,9,71991.0,Delivered,EMI,Paid
O0122,C053,P015,2022-04-04,7,13993.0,Delivered,UPI,Paid
O0123,C003,P028,2022-08-23,10,9990.0,Pending,Credit Card,Pending
O0124,C052,P024,2023-11-22,3,2997.0,Processing,Debit Card,Paid
O0125,C021,P002,2024-05-06,4,3196.0,Delivered,Debit Card,Paid
O0126,C026,P022,2024-05-31,3,1797.0,Shipped,UPI,Paid
O0127,C018,P021,2023-08-13,3,23997.0,Delivered,UPI,Paid
O0128,C005,P021,2023-08-25,7,62993.0,Shipped,Debit Card,Failed
O0129,C014,P004,2022-01-22,1,1999.0,Returned,Credit Card,Refunded
O0130,C037,P002,2024-02-23,3,8997.0,Shipped,Net Banking,Paid
O0131,C046,P013,2023-11-20,6,44994.0,Shipped,Credit Card,Paid
O0132,C021,P024,2024-04-21,7,17493.0,Shipped,Debit Card,Pending
O0133,C014,P011,2022-10-03,4,99996.0,Cancelled,Debit Card,Refunded
O0134,C042,P026,2023-08-14,5,44995.0,Processing,Credit Card,Failed
O0135,C032,P028,2022-02-11,3,5997.0,Pending,UPI,Pending
O0136,C026,P004,2024-02-21,2,79998.0,Delivered,UPI,Paid
O0137,C042,P008,2024-02-14,7,,Shipped,Cash on Delivery,Paid
O0138,C030,P007,2022-06-29,1,1499.0,Processing,Credit Card,Paid
O0139,C010,P007,2023-04-27,8,59992.0,Returned,Cash on Delivery,Pending Refund
O0140,C017,P018,2023-06-16,4,63996.0,Cancelled,UPI,Refunded
O0141,C009,P015,2023-10-30,4,63996.0,Shipped,Credit Card,Paid
O0142,C016,P005,2023-03-29,8,71992.0,Processing,UPI,Failed
O0143,C048,P014,2022-10-12,6,7794.0,Shipped,UPI,Pending
O0144,C036,P006,2022-07-05,5,12495.0,Returned,UPI,Refunded
O0145,C035,P009,2023-08-23,4,,Cancelled,Credit Card,Refunded
O0146,C017,P015,2023-03-23,4,9996.0,Delivered,UPI,Paid
O0147,C048,P008,2023-10-13,1,12999.0,Delivered,Debit Card,Paid
O0148,C038,P028,2024-04-13,4,29996.0,Delivered,EMI,Paid
O0149,C028,P030,2023-05-19,7,17493.0,Delivered,Credit Card,Paid
O0150,C038,P003,2022-04-04,6,14994.0,Delivered,Net Banking,Paid
O0151,C026,P015,2023-04-27,5,199995.0,Delivered,UPI,Paid
O0152,C024,P026,2022-12-23,2,,Shipped,Debit Card,Pending
O0153,C015,P028,2023-02-23,5,14995.0,Shipped,UPI,Pending
O0154,C009,P028,2022-12-08,6,14994.0,Cancelled,UPI,Pending Refund
O0155,C033,P018,2022-11-25,9,26991.0,Cancelled,UPI,Refunded
O0156,C032,P004,2023-11-18,7,90993.0,Delivered,UPI,Paid
O0157,C006,P002,2022-04-18,9,53991.0,Cancelled,UPI,Pending Refund
O0158,C049,P021,2024-05-28,6,14994.0,Delivered,Net Banking,Paid
O0159,C004,P018,2022-06-14,1,1299.0,Delivered,UPI,Paid
O0160,C008,P027,2022-12-04,2,,Delivered,EMI,Paid
O0161,C010,P001,2023-02-26,5,19995.0,Cancelled,UPI,Refunded
O0162,C041,P003,2023-12-12,3,7497.0,Cancelled,Debit Card,Refunded
O0163,C011,P030,2023-05-23,10,14990.0,Cancelled,Debit Card,Pending Refund
O0164,C051,P025,2022-10-23,5,449995.0,Delivered,UPI,Paid
O0165,C044,P028,2023-11-10,1,,Shipped,UPI,Pending
O0166,C028,P008,2023-02-15,2,7998.0,Delivered,Credit Card,Paid
O0167,C039,P006,2024-04-13,10,12990.0,Shipped,Credit Card,Failed
O0168,C005,P014,2024-02-18,7,4193.0,Delivered,UPI,Paid
O0169,C025,P016,2023-07-18,6,8994.0,Cancelled,Credit Card,Refunded
O0170,C025,P016,2022-02-07,6,,Delivered,Credit Card,Paid
O0171,C039,P007,2023-04-11,7,174993.0,Processing,Debit Card,Paid
O0172,C030,P028,2022-04-01,10,9990.0,Delivered,Cash on Delivery,Paid
O0173,C034,P013,2022-11-19,9,11691.0,Delivered,Debit Card,Paid
O0174,C017,P029,2022-09-16,2,179998.0,Delivered,EMI,Paid
O0175,C036,P002,2022-11-28,7,41993.0,Cancelled,Net Banking,Pending Refund
O0176,C001,P006,2022-04-29,10,24990.0,Delivered,Credit Card,Paid
O0177,C044,P013,2024-03-02,4,5996.0,Delivered,Net Banking,Paid
O0178,C047,P001,2023-02-18,5,7495.0,Delivered,Debit Card,Paid
O0179,C008,P013,2024-06-04,1,1499.0,Delivered,Net Banking,Paid
O0180,C044,P009,2023-06-11,7,10493.0,Delivered,UPI,Paid
O0181,C035,P030,2024-04-24,1,1299.0,Returned,Debit Card,Pending Refund
O0182,C049,P026,2022-01-02,9,206991.0,Delivered,Credit Card,Paid
O0183,C018,P026,2023-11-05,9,80991.0,Cancelled,Cash on Delivery,Pending Refund
O0184,C050,P015,2024-06-09,4,2396.0,Delivered,Credit Card,Paid
O0185,C042,P010,2023-07-10,6,53994.0,Shipped,Cash on Delivery,Failed
O0186,C022,P014,2023-04-19,7,13993.0,Delivered,EMI,Paid
O0187,C008,P023,2023-02-28,2,4998.0,Processing,UPI,Paid
O0188,C019,P024,2022-02-25,6,3594.0,Delivered,Cash on Delivery,Paid
O0189,C028,P026,2022-07-12,10,14990.0,Processing,Cash on Delivery,Pending
O0190,C011,P018,2023-06-15,6,7794.0,Delivered,Net Banking,Paid
O0005,C030,P022,2023-01-06,2,79998.0,Delivered,Debit Card,Paid
O0023,C001,P023,2023-09-30,5,24995.0,Shipped,Net Banking,Failed
O0041,C047,P016,2024-02-14,9,44991.0,Delivered,Credit Card,Paid
O0067,C047,P005,2023-05-26,5,6495.0,Pending,Debit Card,Pending
O0089,C017,P007,2023-10-03,7,9093.0,Shipped,Debit Card,Paid
O0101,C033,P010,2023-03-29,6,8994.0,Pending,UPI,Paid
O0123,C049,P007,2024-02-18,7,34993.0,Shipped,UPI,Pending
O0145,C012,P002,2022-02-22,5,29995.0,Delivered,UPI,Paid
O0167,C033,P019,2022-07-28,9,26991.0,Shipped,Net Banking,Failed
O0189,C007,P024,2022-10-01,3,47997.0,Shipped,Cash on Delivery,Paid
